"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Comoros","COM","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44697.48","77184.98","79917.15","67847.03","68894.84","76096.89","73309.69","52673.2","55032.5","54358.54","","","","",
"Cabo Verde","CPV","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54873","55976","49207","49084","54112","52789","62112","74554","84041","91683","76139","79754","","",
"Costa Rica","CRI","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","573502","563825","602570","669259","734088","740420","834321","976621","1004971","875687","1013483","1069348","1229530","1245174","1298579","1343841","1338979","1489326","1492791","1300785","1509599","1523198","","",
"Caribbean small states","CSS","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1506064.5","1524271","1638977","1872774","1854200","1876625","1679982","1349737","1625088.5","1960733.25","","","","",
"Cuba","CUB","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","319857","319000","290098.6","228346","246773","240000","263886","230836","330713","325319","332240","349722","322000","","","","",
"Curacao","CUW","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94097","99191","87452","89193","90016","98278","93921","96738","","89305","92640","","",
"Cayman Islands","CYM","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","649","36644","44215","45649","44766","45400","46118","46720","54607","60718","61940","","","","","","",
"Cyprus","CYP","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","377037","416970","353913","349163","345817","307496","277276","307878","308639","360841","345016","416502","389962","390504","319131","","",
"Czechia","CZE","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7695688","8426520","9252670","10943452","12479419","13598987","15009691","16644222","17183042.1168","13296300.2124179","13056019","15199337","15272901","15409721","15880228","15029425","15139890","15169595","15094593","15029605","13950977","14716437","","",
"Djibouti","DJI","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","294902","356462","519500","406407","703617","743273","787867","864027","910165","987400","928000","859000","917000","860000","692000","","",
"Dominica","DMA","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7363","7836","6890","7469","7744","7361","7361","7425","7393","7409","7401","","","",
"Denmark","DNK","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","568660","457386","587300","888729","1213919","913960","679707","775117","740682","621546","698683","782195","763658","749353","750554","756464","712615","820654","833830","880039","933295","1055262","","",
"Dominican Republic","DOM","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","566479","487827","541930","480650","537317","","597583","883785","1138471","1263467.5494","1382905","1476007","1751758","1446902","1265132","1367118","1486227","1770295","1906487","1894225","1781902","2184754","","",
"Algeria","DZA","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","267530","311111","","","","","","200050","225140","250095.2398","1198252","1309432","1398615","1514392","1658776","1694425","1831056","1725238","1844422","1793990","1553362","","","",
"East Asia & Pacific (excluding high income)","EAP","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56840499","62621336","77904818","86891558","102402184","96232448","114796121","140639995","155725485.3104","147752713.767078","186387551.675","207165811.352","223292852.784","236340598.498","251007315.738","262208340.943","272105649.763","292613223.91","306737023.711","318877739.08","319574172","341050101","","",
"Early-demographic dividend","EAR","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24653677","27613470","27230030","33495544","36951024","44473958","48474936","60134388","67893464.2896","66375942.1348474","76395170.546","85337532.102","88837270.18","90660923.518","93044241.728","95775444.433","98830792.203","108592238.13","114958471.81","116315369.26","112563181","120120663","","",
"East Asia & Pacific","EAS","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111180913","115948099","137479148","151803542","174201309","193780272","217761320","252296411","269311779.7","247674210.41178","299872467.635","326974940.269","346017182.321","360689609.853","379454559.341","385555402.243","396516128.259","424048242.142","443275555.494","454616080.96","451486343","475140927","","",
"Europe & Central Asia (excluding high income)","ECA","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48312150","50660187","55628833","60321993","71190112","75798358","81291535","97542316","98520362.3448","84176404.3570037","90311527.144","98176457.75","101083481.047","103817989.443","108612432.331","106321861.8732","110472260.2632","117040621.4842","123273024.7692","127358121.726","123057247","129378843","","",
"Ecuador","ECU","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","414104","414355","500470","521550","564515","632722","671087","674837","670831","1000895","1209347","1527372","1591052","1642336","1772533","1866808","1907090","1990210","2212486","2194042","2517104","2593926","","",
"Egypt, Arab Rep.","EGY","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1625601","1708990","1336040","1579530","2959895","4031114","5372832","5181581","6099218","6250443","6074712","6614162","5846921","5874827","6336863","5843911","5479814","5696155","5950632","6699036","6810285","7321888","","",
"Euro area","EMU","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39598836","41102204","45392743","49538828","56540127","60434937","64721621","76926783","77503215.6632","67246207.7011566","69573749","75016285","76801513","78215861","81410004","80845191","83475459","87992183","91887867","93418456","90469086","95995973","","",
"Eritrea","ERI","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25852.15","19202.06","22527.11","12551.97","12551.97","12551.97","37259.65","27452.8","","","","",
"Spain","ESP","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5789693","6156351","6664100","7363964","8270437","9170557","10033089","13346028","13461304.0976","11803192.2752","12500043","13901612","14066221","13903835","14205033","14288388","15073218","15929902","17165709","17464920","16745930","17712459","","",
"Estonia","EST","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180911","180927","130939","","197717","227809","253855","260966","209154","204177","229905","239576","241338","213928","227000","","",
"Ethiopia","ETH","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41051632","42672228","46785653","51632029","59654992","63373218","67710907","81299855","81986204.6632","70521472.7011566","73411270","79437793","81570274","83223096","86623791","85798628","88648171","93679883","98065900","99896311","96828867","102751696","","",
"Fragile and conflict affected situations","FCS","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8191941.212","8604472.124","8877016.588","8981005.758","8607300.723","7696968.923","9280721.44","10187552.311","10098011.75","","","","",
"Finland","FIN","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","928318","1018729","1086720","1162400","1307092","1312305","1416404","1560089","1605522.7576","1125532.53496144","1219391","1398619","1445102","1472143","1426630","1413646","1509479","1630089","1594271","1628170","1496192","1409037","","",
"Fiji","FJI","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257316","290789","232617.4","324269.9","329096.8","255214","244524.4","276943.9","279465.5","145782.4","","","","",
"France","FRA","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2923190","2997774","3276150","3565963","3954173","4000847","4259470","4984492","4887718","4674198","3915704","3865087","4076391","4285777","4424205","4463203","4471870","4964947","5051326","4992918","4435697","5522541","","",
"Faroe Islands","FRO","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34325.88","35751.59","35739.63","32168.71","35753.08","33506.52","33520.26","34942.61","35039.3","31214.33","","","","",
"Micronesia, Fed. Sts.","FSM","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6570.016","5900.462","13192.05","9269.688","9269.688","9814.813","9814.813","11433.5","32194.52","25234.09","","","","",
"Gabon","GAB","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","158884","132348.8","153657","162415","168912","130700","197998","145700","146000","156000","156000","192998","180000","","","",
