DATAFLOW,LAST UPDATE,freq,tra_cov,cargo,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2004,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2005,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2006,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2007,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2008,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2009,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2010,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2011,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2012,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2013,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2014,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2015,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2016,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2017,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2018,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2019,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2020,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2021,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2022,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,SK,2023,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,TR,2004,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,TR,2005,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,TR,2006,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,TR,2007,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,TR,2008,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,TR,2009,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,TR,2010,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,TR,2011,0,
ESTAT:RAIL_GO_CONTWGT(1.0),05/09/24 11:00:00,A,INTL_IN,UNK,THS_T,TR,2012,0,
