DATAFLOW,LAST UPDATE,freq,unit,tra_infr,tra_meas,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2015,3766,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2016,3766,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2017,3764,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2018,3724,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2019,3763,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2020,3354,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2021,3369,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,RS,2022,3382,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,1990,11193,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,1991,11050,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,1992,10988,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,1993,10888,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,1994,10803,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,1995,10925,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,1996,10964,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,1997,10941,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,1998,10997,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,1999,11044,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2000,11037,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2001,11021,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2002,11095,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2003,11037,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2004,11050,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2005,11017,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2006,11020,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2007,10972,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2008,11032,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2009,11149,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2010,11160,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2011,11206,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2012,11136,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2013,10957,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2014,10881,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2015,10908,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2016,10882,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2017,10874,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2018,10906,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2019,10899,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2020,10909,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2021,10912,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SE,2022,10914,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,1990,1196,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,1991,1201,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,1992,1201,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,1993,1201,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,1994,1201,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,1995,1201,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,1996,1201,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,1997,1201,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,1998,1201,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,1999,1201,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,2000,1201,
