DATAFLOW,LAST UPDATE,freq,train,vehicle,mot_nrg,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,1997,10965,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,1998,10408,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,1999,10015,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2000,9514,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2001,8329,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2002,8051,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2003,7979,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2004,8185,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2005,7660,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2006,8379,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2007,6043,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2008,6413,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2009,4947,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2010,5351,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2011,5683,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2012,5832,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2013,5579,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2014,4978,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2015,3622,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2016,3420,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2017,3512,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2018,3639,
ESTAT:RAIL_TF_HAULMOV(1.0),31/07/24 23:00:00,A,TOTAL,LOC,DIE,MIO_GTKM,FI,2019,3449,
