DATAFLOW,LAST UPDATE,freq,unit,c_load,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2021,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,IT,2022,,c
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,LT,2004,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,LT,2005,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,LT,2007,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,MK,2009,124,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,MK,2010,171,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,MK,2011,238,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,MK,2012,122,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,MK,2013,42,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,MK,2014,81,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,MK,2015,83,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,MK,2016,66,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,MK,2017,101,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,MK,2018,118,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,MK,2019,192,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,MK,2020,92,
