DATAFLOW,LAST UPDATE,freq,unit,accident,victim,pers_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2009,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2010,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2011,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2012,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2013,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2014,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2015,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2016,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2017,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2018,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2019,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2020,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2021,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DE,2022,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2006,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2007,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2008,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2009,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2010,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2011,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2012,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2013,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2014,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2015,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2016,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2017,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2018,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2019,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2020,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2021,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,DK,2022,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2007,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2008,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2009,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2010,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2011,2,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2012,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2013,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2014,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2015,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2016,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2017,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2018,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2019,1,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2020,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2021,2,
