DATAFLOW,LAST UPDATE,freq,loadstat,tra_cov,cargo,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SK,2006,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SK,2007,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SK,2008,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SK,2009,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SK,2018,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SK,2019,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SK,2020,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SK,2021,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SK,2022,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,SK,2023,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2004,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2005,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2006,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2007,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2008,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2009,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2010,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2011,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2012,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2013,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2014,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2015,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2016,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2017,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2018,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2019,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2020,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2021,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2022,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,TR,2023,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2004,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2005,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2006,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2007,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2008,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2009,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2010,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2011,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2012,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2013,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2014,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2015,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2016,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2017,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2018,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,NAT,UNK,NR,UK,2019,0,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2004,2417,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2005,1523,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2006,2535,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2007,4473,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2008,4730,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2009,5013,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2010,8074,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2011,10003,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2012,7101,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2013,3064,
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2014,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2015,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2016,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2017,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2018,,c
ESTAT:RAIL_GO_ITU(1.0),05/09/24 11:00:00,A,EMPTY,TOTAL,RVEH,NR,AT,2019,,c
