DATAFLOW,LAST UPDATE,freq,unit,train,partner,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,FR,2023,,c
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2004,2,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2005,1,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2006,3,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2007,6,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2008,9,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2009,9,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2010,9,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2011,10,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2012,11,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2013,10,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2014,11,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2015,7,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2016,8,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2017,6,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2018,7,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2019,9,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2020,2,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2021,4,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2022,7,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HR,2023,7,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HU,2004,23,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HU,2005,12,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HU,2006,12,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HU,2007,18,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HU,2008,24,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HU,2009,22,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HU,2010,25,
ESTAT:RAIL_PA_INTGONG(1.0),05/09/24 11:00:00,A,THS_PAS,TOTAL,CH,HU,2011,28,
