DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EE,2008,1196,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EE,2009,1196,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EE,2010,1196,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EE,2011,1196,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EE,2012,1196,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EE,2013,1166,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EE,2014,1166,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EE,2015,1164,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EE,2016,1161,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EE,2017,1161,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EE,2018,1161,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EE,2019,1167,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EE,2020,1167,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EE,2021,1167,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EE,2022,1175,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EL,2008,2552,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EL,2009,2552,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EL,2010,2552,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EL,2011,2554,
