DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2013,834,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2014,781,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2015,806,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2016,798,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2017,771,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2018,732,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2019,646,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2020,678,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2021,678,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DE,2022,684,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2006,21,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2007,24,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2008,15,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2009,23,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2010,20,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2011,20,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2012,32,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2013,23,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2014,21,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2015,27,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2016,27,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2017,24,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2018,25,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2019,30,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2020,20,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2021,19,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,DK,2022,16,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2007,0,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2008,1,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2009,0,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2010,0,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2011,0,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2012,5,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2013,1,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2014,5,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2015,7,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2016,1,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2017,5,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2018,6,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2019,5,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2020,2,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2021,9,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EE,2022,4,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2006,1,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2007,4,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2008,1,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2009,3,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2010,2,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2011,4,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2012,1,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2013,5,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2014,4,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2015,7,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2016,4,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2017,7,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2018,5,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2019,2,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2020,4,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2021,1,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EL,2022,0,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2006,189,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2007,188,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2008,174,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2009,163,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2010,124,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2011,128,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2012,138,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2013,118,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2014,139,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2015,108,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2016,115,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2017,126,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2018,90,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2019,89,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2020,69,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2021,71,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,ES,2022,87,
ESTAT:TRAN_SF_RAILSU(1.0),13/02/24 23:00:00,A,NR,EU27_2020,2010,2532,
