DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2019,1252,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2020,640,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2021,653,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2022,1117,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EL,2023,673,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2004,20328,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2005,21151,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2006,21620,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2007,21362,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2008,23453,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2009,23055,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2010,22343,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2011,22931,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2012,22446,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2013,23755,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2014,25034,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2015,26108,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2016,26646,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2017,27490,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2018,28420,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2019,28847,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2020,12060,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2021,17002,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2022,27489,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,ES,2023,34632,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2007,2006,388154,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2007,2007,395465,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2007,2008,,c
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2007,2009,,c
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2007,2010,,c
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2007,2011,420384,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2007,2013,,c
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2007,2014,,c
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2007,2015,443666,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2007,2016,453141,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2007,2017,461105,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2007,2018,467983,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2007,2019,483301,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2006,342179,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2007,346565,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2008,,c
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2009,,c
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2010,,c
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2011,363380,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2013,,c
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2014,,c
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2015,378013,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2016,385958,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2017,392929,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2018,399024,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2019,412202,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2020,221836,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2021,256210,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU27_2020,2022,387294,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU28,2006,389477,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU28,2007,397038,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU28,2008,,c
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU28,2009,,c
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU28,2010,,c
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU28,2011,421841,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU28,2013,,c
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU28,2014,,c
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU28,2015,444607,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU28,2016,453968,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU28,2017,461840,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU28,2018,468730,
ESTAT:RAIL_PA_TOTAL(1.0),04/09/24 23:00:00,A,MIO_PKM,EU28,2019,484025,
