DATAFLOW,LAST UPDATE,freq,unit,power,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2019,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2020,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2021,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FI,2022,0,
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,1990,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,1991,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,1992,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,1993,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,1994,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,1995,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,1996,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,1997,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,1998,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,1999,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,2000,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,2001,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,2002,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,2003,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,2004,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,2005,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,2006,0,s
ESTAT:RAIL_IF_ELECTRI(1.0),31/07/24 23:00:00,A,KM,AC_OTH,FR,2007,0,s
