DATAFLOW,LAST UPDATE,freq,unit,nst07,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EE,2014,43,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EE,2015,24,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EE,2016,25,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EE,2017,21,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EE,2018,38,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EE,2019,23,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EE,2020,17,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EE,2021,20,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EE,2022,37,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EE,2023,32,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2008,25,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2009,42,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2010,43,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2011,13,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2012,21,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2013,6,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2014,62,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2015,12,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2016,11,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2017,14,
