DATAFLOW,LAST UPDATE,freq,unit,accident,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,ES,2013,5,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,ES,2014,7,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,ES,2015,3,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,ES,2016,6,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,ES,2017,5,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,ES,2018,14,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,ES,2019,9,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,ES,2020,12,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,ES,2021,10,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,ES,2022,6,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,EU27_2020,2010,79,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,EU27_2020,2011,70,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,EU27_2020,2012,87,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,EU27_2020,2013,80,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,EU27_2020,2014,121,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,EU27_2020,2015,123,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,EU27_2020,2016,99,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,EU27_2020,2017,102,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,EU27_2020,2018,109,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,EU27_2020,2019,103,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,EU27_2020,2020,110,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,EU27_2020,2021,97,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,EU27_2020,2022,125,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2006,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2007,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2008,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2009,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2010,0,
