DATAFLOW,LAST UPDATE,freq,unit,accident,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2010,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2011,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2012,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2013,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2014,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2015,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2016,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2017,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2018,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2019,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2020,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2021,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2022,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2010,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2011,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2012,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2013,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2014,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2015,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2016,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2017,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2018,2,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2019,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2020,0,
